time,lat,lon,100m_u_component_of_wind,100m_v_component_of_wind,2m_dewpoint_temperature,mean_sea_level_pressure,mean_wave_direction,mean_wave_period,surface_pressure,sea_surface_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,surface_solar_radiation_downwards,surface_solar_radiation_downward_clear_sky,significant_height_of_combined_wind_waves_and_swell,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,2m_temperature,total_precipitation,10m_u_component_of_wind,10m_v_component_of_wind
2019-03-01 00:00:00,52.25,5.50,4.83,2.58,281.35,101136.44,,,100978.70,,8.37,7.53,6.05,5.67,0.00,0.00,,0.21,0.21,0.25,0.23,8.64,0.00,2.04,1.81
2019-03-01 01:00:00,52.25,5.50,5.13,2.41,281.03,101112.21,,,100954.79,,8.25,7.49,6.06,5.67,0.00,0.00,,0.21,0.21,0.25,0.23,8.23,0.00,2.28,1.77
2019-03-01 02:00:00,52.25,5.50,5.62,1.10,280.44,101064.97,,,100907.53,,7.98,7.44,6.07,5.67,0.00,0.00,,0.22,0.21,0.25,0.23,7.62,0.00,2.49,1.00
2019-03-01 03:00:00,52.25,5.50,5.81,-0.58,279.84,101064.62,,,100907.09,,7.57,7.37,6.08,5.67,0.00,0.00,,0.22,0.21,0.25,0.23,6.98,0.00,2.72,0.21
2019-03-01 04:00:00,52.25,5.50,4.85,-2.59,279.98,101077.52,,,100919.27,,7.36,7.29,6.09,5.67,0.00,0.00,,0.22,0.21,0.25,0.23,7.10,0.00,2.48,-0.82
2019-03-01 05:00:00,52.25,5.50,2.96,-4.38,280.10,101111.25,,,100952.80,,7.27,7.22,6.10,5.67,0.00,0.00,,0.22,0.21,0.25,0.23,7.13,0.00,1.87,-2.12
2019-03-01 06:00:00,52.25,5.50,1.27,-5.77,279.98,101160.49,,,101002.27,,7.13,7.16,6.11,5.67,0.00,0.00,,0.22,0.21,0.25,0.23,6.97,0.00,1.07,-3.16
2019-03-01 07:00:00,52.25,5.50,0.52,-6.73,279.45,101253.66,,,101095.34,,6.92,7.11,6.12,5.67,6670.62,29615.50,,0.22,0.21,0.25,0.23,6.63,0.00,0.67,-4.00
2019-03-01 08:00:00,52.25,5.50,0.50,-7.84,278.64,101384.66,,,101225.72,,6.64,7.05,6.12,5.67,73980.12,343165.56,,0.22,0.21,0.25,0.23,6.17,0.00,0.73,-4.56
2019-03-01 09:00:00,52.25,5.50,0.48,-7.40,277.92,101486.54,,,101326.66,,6.40,7.00,6.13,5.67,163449.75,801007.00,,0.22,0.21,0.25,0.23,5.82,0.00,0.54,-4.79
2019-03-01 10:00:00,52.25,5.50,1.75,-6.58,276.90,101595.83,,,101435.45,,6.31,6.98,6.14,5.67,273421.12,1225071.75,,0.22,0.21,0.25,0.23,5.66,0.00,1.29,-4.58
2019-03-01 11:00:00,52.25,5.50,2.68,-6.20,276.56,101660.06,,,101499.86,,6.53,6.96,6.14,5.68,512697.62,1536784.88,,0.22,0.21,0.25,0.23,5.95,0.00,2.01,-4.38
2019-03-01 12:00:00,52.25,5.50,2.65,-5.71,276.13,101680.11,,,101520.11,,6.84,6.95,6.15,5.68,638460.06,1690635.75,,0.22,0.21,0.25,0.23,6.14,0.00,1.98,-4.09
2019-03-01 13:00:00,52.25,5.50,2.28,-5.21,275.64,101693.09,,,101533.39,,6.98,6.96,6.15,5.68,599491.44,1675453.12,,0.22,0.21,0.25,0.23,6.00,0.00,1.74,-3.79
2019-03-01 14:00:00,52.25,5.50,3.32,-4.38,275.40,101733.53,,,101573.90,,7.24,6.99,6.16,5.68,627153.88,1488013.00,,0.22,0.21,0.25,0.23,6.11,0.00,2.51,-3.20
2019-03-01 15:00:00,52.25,5.50,4.44,-3.92,275.22,101776.50,,,101616.17,,7.18,7.00,6.17,5.68,428278.12,1145147.25,,0.22,0.21,0.25,0.23,5.97,0.00,3.23,-2.78
2019-03-01 16:00:00,52.25,5.50,3.89,-3.29,275.11,101796.46,,,101636.65,,6.90,7.00,6.17,5.68,255934.25,693753.75,,0.22,0.21,0.25,0.23,5.84,0.00,2.71,-2.15
2019-03-01 17:00:00,52.25,5.50,3.40,-2.82,275.09,101806.22,,,101646.05,,6.50,6.96,6.18,5.68,87698.25,233100.62,,0.22,0.21,0.25,0.23,5.59,0.00,2.12,-1.51
2019-03-01 18:00:00,52.25,5.50,3.25,-1.63,275.24,101822.43,,,101662.22,,6.23,6.88,6.18,5.68,1658.25,3823.75,,0.22,0.21,0.25,0.23,5.43,0.00,1.83,-0.50
2019-03-01 19:00:00,52.25,5.50,4.12,-0.47,275.47,101851.98,,,101691.55,,5.93,6.78,6.19,5.68,0.00,0.00,,0.22,0.21,0.25,0.23,5.21,0.00,2.05,0.22
2019-03-01 20:00:00,52.25,5.50,4.07,0.02,275.78,101850.06,,,101689.77,,5.86,6.67,6.19,5.68,0.00,0.00,,0.22,0.21,0.25,0.23,5.19,0.00,1.97,0.42
2019-03-01 21:00:00,52.25,5.50,3.69,0.70,275.89,101848.23,,,101687.67,,5.62,6.56,6.19,5.68,0.00,0.00,,0.22,0.21,0.25,0.23,4.88,0.00,1.54,0.79
2019-03-01 22:00:00,52.25,5.50,3.88,0.98,275.93,101871.33,,,101710.25,,5.58,6.42,6.19,5.68,0.00,0.00,,0.22,0.21,0.25,0.23,4.95,0.00,1.76,0.82
2019-03-01 23:00:00,52.25,5.50,3.68,1.25,275.88,101844.13,,,101683.58,,5.34,6.30,6.19,5.68,0.00,0.00,,0.22,0.21,0.25,0.23,4.62,0.00,1.67,0.97
2019-03-02 00:00:00,52.25,5.50,3.18,1.59,275.99,101809.62,,,101649.27,,5.01,6.19,6.19,5.68,0.00,0.00,,0.22,0.21,0.25,0.23,4.44,0.00,1.27,1.13
2019-03-02 01:00:00,52.25,5.50,3.03,2.13,276.31,101759.51,,,101598.58,,5.15,6.08,6.19,5.68,0.00,0.00,,0.21,0.21,0.25,0.23,4.45,0.00,1.24,1.40
2019-03-02 02:00:00,52.25,5.50,2.75,2.68,276.68,101703.20,,,101542.80,,5.02,5.97,6.19,5.68,0.00,0.00,,0.21,0.21,0.25,0.23,4.49,0.00,1.03,1.60
2019-03-02 03:00:00,52.25,5.50,2.61,3.37,276.82,101654.05,,,101494.10,,4.92,5.87,6.18,5.68,0.00,0.00,,0.21,0.21,0.25,0.23,4.44,0.00,0.97,1.96
2019-03-02 04:00:00,52.25,5.50,2.05,4.13,276.92,101606.29,,,101446.41,,5.03,5.78,6.18,5.68,0.00,0.00,,0.21,0.21,0.25,0.23,4.72,0.00,0.64,2.28
2019-03-02 05:00:00,52.25,5.50,1.32,4.67,276.83,101534.73,,,101375.24,,4.95,5.70,6.17,5.68,0.00,0.00,,0.21,0.21,0.25,0.23,4.65,0.00,0.20,2.53
2019-03-02 06:00:00,52.25,5.50,0.97,5.44,276.79,101471.55,,,101312.05,,4.95,5.63,6.16,5.68,0.00,0.00,,0.21,0.21,0.25,0.23,4.82,0.00,-0.01,2.92
2019-03-02 07:00:00,52.25,5.50,1.01,5.98,276.76,101434.51,,,101274.52,,4.88,5.56,6.16,5.69,12813.62,36176.00,,0.21,0.21,0.25,0.23,4.93,0.00,0.06,3.30
2019-03-02 08:00:00,52.25,5.50,1.59,6.27,277.32,101450.28,,,101291.46,,5.11,5.53,6.15,5.69,161226.12,370381.88,,0.21,0.21,0.25,0.23,5.77,0.00,0.35,3.65
2019-03-02 09:00:00,52.25,5.50,1.31,5.49,278.07,101401.12,,,101241.88,,5.64,5.55,6.14,5.69,339788.44,836808.12,,0.21,0.21,0.25,0.23,6.87,0.00,0.54,3.63
