time,lat,lon,100m_u_component_of_wind,100m_v_component_of_wind,2m_dewpoint_temperature,mean_sea_level_pressure,mean_wave_direction,mean_wave_period,surface_pressure,sea_surface_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,surface_solar_radiation_downwards,surface_solar_radiation_downward_clear_sky,significant_height_of_combined_wind_waves_and_swell,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,2m_temperature,total_precipitation,10m_u_component_of_wind,10m_v_component_of_wind
2019-05-01 00:00:00,52.00,5.50,-0.03,-4.52,279.72,102079.72,,,101914.27,,9.58,11.61,10.71,8.04,0.12,0.12,,0.22,0.18,0.23,0.30,7.90,0.00,0.25,-2.05
2019-05-01 01:00:00,52.00,5.50,0.23,-4.40,279.66,102031.88,,,101866.05,,9.28,11.43,10.71,8.05,0.12,0.12,,0.22,0.18,0.23,0.30,7.75,0.00,0.36,-2.02
2019-05-01 02:00:00,52.00,5.50,0.03,-3.94,279.55,101980.06,,,101814.19,,9.15,11.25,10.71,8.05,0.12,0.12,,0.22,0.18,0.23,0.30,7.52,0.00,0.19,-1.59
2019-05-01 03:00:00,52.00,5.50,-0.21,-2.94,279.37,101967.38,,,101801.98,,8.89,11.07,10.70,8.05,0.12,0.12,,0.22,0.18,0.23,0.30,7.24,0.00,0.07,-1.29
2019-05-01 04:00:00,52.00,5.50,-0.12,-2.24,279.11,101936.15,,,101770.69,,8.80,10.89,10.70,8.06,0.12,0.12,,0.22,0.18,0.23,0.30,6.87,0.00,0.20,-1.17
2019-05-01 05:00:00,52.00,5.50,0.08,-2.16,279.45,101929.49,,,101763.30,,8.32,10.71,10.69,8.06,42355.12,72855.75,,0.22,0.18,0.23,0.30,7.34,0.00,0.03,-1.32
2019-05-01 06:00:00,52.00,5.50,0.39,-1.92,278.83,101931.14,,,101766.30,,8.86,10.58,10.68,8.06,260875.12,461824.00,,0.22,0.18,0.23,0.30,8.05,0.00,0.17,-1.47
2019-05-01 07:00:00,52.00,5.50,0.92,-1.29,278.82,101919.71,,,101754.51,,9.72,10.50,10.67,8.06,592424.50,1006710.06,,0.22,0.18,0.23,0.30,8.64,0.00,0.70,-1.06
2019-05-01 08:00:00,52.00,5.50,1.13,-0.88,278.76,101919.87,,,101754.51,,10.43,10.49,10.67,8.07,844620.31,1576966.88,,0.22,0.18,0.23,0.30,9.10,0.00,0.93,-0.73
2019-05-01 09:00:00,52.00,5.50,1.19,-0.68,278.82,101901.47,,,101736.62,,10.99,10.53,10.66,8.07,1018950.31,2099641.50,,0.22,0.18,0.23,0.30,9.42,0.00,0.99,-0.55
2019-05-01 10:00:00,52.00,5.50,1.77,0.22,278.81,101888.95,,,101724.19,,12.22,10.65,10.65,8.07,1398359.88,2515147.00,,0.22,0.18,0.23,0.30,10.64,0.00,1.44,0.15
2019-05-01 11:00:00,52.00,5.50,2.15,0.04,279.03,101845.66,,,101681.87,,13.28,10.83,10.64,8.08,1667914.25,2784892.50,,0.21,0.18,0.23,0.30,11.10,0.00,1.75,0.02
2019-05-01 12:00:00,52.00,5.50,2.09,-0.18,279.28,101817.63,,,101653.90,,14.46,11.07,10.64,8.08,2000306.75,2891478.50,,0.21,0.18,0.23,0.30,12.07,0.00,1.70,-0.15
2019-05-01 13:00:00,52.00,5.50,2.46,-0.42,279.38,101759.00,,,101596.26,,15.12,11.35,10.64,8.08,1875176.00,2822851.25,,0.21,0.18,0.23,0.30,12.67,0.00,2.00,-0.34
