time,lat,lon,100m_u_component_of_wind,100m_v_component_of_wind,2m_dewpoint_temperature,mean_sea_level_pressure,mean_wave_direction,mean_wave_period,surface_pressure,sea_surface_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,surface_solar_radiation_downwards,surface_solar_radiation_downward_clear_sky,significant_height_of_combined_wind_waves_and_swell,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,2m_temperature,total_precipitation,10m_u_component_of_wind,10m_v_component_of_wind
2021-06-01 00:00:00,52.50,5.00,-7.38,0.98,281.27,101986.30,,,102009.37,,13.34,15.00,11.31,8.24,0.12,0.12,,0.31,0.33,0.33,0.35,12.86,0.00,-3.40,-0.23
2021-06-01 01:00:00,52.50,5.00,-7.62,1.27,280.71,101979.05,,,102001.83,,12.53,14.77,11.32,8.24,0.12,0.12,,0.31,0.33,0.33,0.35,11.98,0.00,-3.68,-0.15
2021-06-01 02:00:00,52.50,5.00,-7.66,1.77,280.44,101955.69,,,101978.91,,12.28,14.53,11.34,8.24,0.12,0.12,,0.31,0.33,0.33,0.35,11.65,0.00,-3.80,0.08
2021-06-01 03:00:00,52.50,5.00,-7.20,2.56,280.25,101934.51,,,101957.06,,11.89,14.29,11.36,8.25,0.12,0.12,,0.31,0.33,0.33,0.35,11.18,0.00,-3.59,0.51
2021-06-01 04:00:00,52.50,5.00,-6.37,3.34,280.30,101921.93,,,101944.83,,11.95,14.05,11.37,8.25,24018.50,23895.38,,0.31,0.33,0.33,0.35,11.32,0.00,-3.32,0.91
2021-06-01 05:00:00,52.50,5.00,-5.61,3.51,281.30,101919.12,,,101942.22,,13.15,13.83,11.38,8.25,289596.75,288893.00,,0.31,0.33,0.33,0.35,13.29,0.00,-3.45,1.17
2021-06-01 06:00:00,52.50,5.00,-4.93,3.23,281.40,101912.18,,,101935.14,,14.64,13.68,11.39,8.26,758521.38,756682.62,,0.31,0.33,0.33,0.35,15.53,0.00,-3.30,1.23
2021-06-01 07:00:00,52.50,5.00,-3.89,2.45,282.06,101911.50,,,101934.14,,15.93,13.62,11.39,8.26,1307016.25,1303829.75,,0.31,0.33,0.33,0.35,17.37,0.00,-2.94,1.39
2021-06-01 08:00:00,52.50,5.00,-3.60,1.87,282.82,101890.92,,,101914.45,,17.29,13.67,11.40,8.26,1861896.50,1857720.50,,0.31,0.33,0.33,0.35,19.16,0.00,-2.86,1.26
2021-06-01 09:00:00,52.50,5.00,-3.83,1.24,283.53,101875.13,,,101896.98,,18.17,13.82,11.41,8.27,2361617.75,2356930.50,,0.31,0.33,0.33,0.35,20.45,0.00,-3.05,0.84
2021-06-01 10:00:00,52.50,5.00,-4.54,-0.07,283.64,101831.86,,,101854.22,,19.24,14.29,11.43,8.27,2758536.00,2753621.00,,0.30,0.32,0.33,0.35,21.99,0.00,-3.52,-0.19
2021-06-01 11:00:00,52.50,5.00,-5.13,-0.37,282.76,101788.95,,,101811.84,,19.83,14.62,11.44,8.27,3017139.50,3012119.50,,0.30,0.32,0.33,0.35,22.85,0.00,-3.97,-0.44
2021-06-01 12:00:00,52.50,5.00,-5.73,-0.78,281.59,101728.94,,,101751.53,,20.47,14.97,11.46,8.28,3119746.00,3114639.25,,0.29,0.32,0.33,0.35,23.36,0.00,-4.39,-0.79
2021-06-01 13:00:00,52.50,5.00,-6.10,-0.86,281.14,101709.95,,,101732.77,,20.93,15.34,11.47,8.28,3057612.50,3052287.00,,0.29,0.32,0.33,0.35,23.68,0.00,-4.64,-0.84
2021-06-01 14:00:00,52.50,5.00,-6.24,-0.68,281.04,101666.63,,,101689.16,,21.12,15.69,11.50,8.28,2833833.25,2828678.25,,0.29,0.32,0.33,0.35,23.93,0.00,-4.70,-0.71
2021-06-01 15:00:00,52.50,5.00,-6.25,-0.83,281.18,101620.39,,,101642.16,,21.05,16.02,11.52,8.29,2468595.50,2463750.50,,0.29,0.32,0.33,0.35,23.87,0.00,-4.56,-0.82
2021-06-01 16:00:00,52.50,5.00,-6.06,-0.90,281.40,101595.76,,,101617.85,,20.79,16.29,11.55,8.29,1992696.25,1988338.00,,0.28,0.31,0.33,0.35,23.87,0.00,-4.11,-0.83
2021-06-01 17:00:00,52.50,5.00,-5.88,-1.22,282.02,101561.61,,,101583.77,,20.36,16.50,11.57,8.29,1448376.38,1444367.00,,0.28,0.31,0.33,0.35,23.46,0.00,-3.46,-1.04
2021-06-01 18:00:00,52.50,5.00,-5.96,-1.52,282.44,101546.82,,,101568.77,,19.83,16.65,11.60,8.30,890352.69,887984.25,,0.28,0.31,0.33,0.35,22.76,0.00,-2.91,-1.19
2021-06-01 19:00:00,52.50,5.00,-6.63,-2.26,282.96,101559.11,,,101581.85,,19.49,16.72,11.63,8.30,396722.00,395761.88,,0.28,0.31,0.33,0.35,21.10,0.00,-2.92,-1.52
2021-06-01 20:00:00,52.50,5.00,-7.71,-2.68,283.20,101575.73,,,101598.47,,18.53,16.69,11.66,8.30,63558.12,63281.00,,0.28,0.31,0.33,0.35,18.54,0.00,-3.54,-1.79
