time,lat,lon,100m_u_component_of_wind,100m_v_component_of_wind,2m_dewpoint_temperature,mean_sea_level_pressure,mean_wave_direction,mean_wave_period,surface_pressure,sea_surface_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,surface_solar_radiation_downwards,surface_solar_radiation_downward_clear_sky,significant_height_of_combined_wind_waves_and_swell,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,2m_temperature,total_precipitation,10m_u_component_of_wind,10m_v_component_of_wind
2019-05-01 00:00:00,52.75,4.75,0.21,-2.23,279.05,102129.19,355.20,4.03,102121.27,,10.55,11.00,10.75,9.27,0.12,0.12,0.42,0.15,0.15,0.17,0.20,8.54,0.00,0.30,-1.91
2019-05-01 01:00:00,52.75,4.75,0.54,-1.91,278.84,102065.16,354.59,4.02,102057.09,,10.43,10.94,10.75,9.27,0.12,0.12,0.41,0.15,0.15,0.17,0.20,8.46,0.00,0.54,-1.62
2019-05-01 02:00:00,52.75,4.75,1.11,-1.66,278.72,101995.80,353.43,3.99,101988.20,,10.37,10.88,10.74,9.27,0.12,0.12,0.40,0.15,0.15,0.17,0.20,8.39,0.00,1.01,-1.40
2019-05-01 03:00:00,52.75,4.75,1.65,-1.68,278.61,101968.87,351.90,3.96,101960.98,,10.29,10.83,10.74,9.27,0.12,0.12,0.39,0.15,0.15,0.17,0.20,8.33,0.00,1.48,-1.42
2019-05-01 04:00:00,52.75,4.75,1.65,-1.95,278.53,101943.43,351.01,3.93,101935.70,,10.35,10.77,10.74,9.27,0.12,0.12,0.38,0.15,0.15,0.17,0.20,8.39,0.00,1.42,-1.59
2019-05-01 05:00:00,52.75,4.75,1.50,-2.07,278.49,101933.48,350.40,3.91,101925.30,,10.16,10.71,10.73,9.27,28269.75,68141.25,0.37,0.15,0.15,0.17,0.20,8.20,0.00,1.33,-1.76
2019-05-01 06:00:00,52.75,4.75,1.23,-1.90,278.70,101927.15,350.03,3.91,101919.30,,10.33,10.67,10.73,9.27,195210.00,442966.12,0.36,0.15,0.15,0.17,0.20,8.37,0.00,1.12,-1.66
2019-05-01 07:00:00,52.75,4.75,1.11,-1.52,278.69,101917.20,349.81,3.92,101909.55,,10.61,10.64,10.72,9.28,436742.62,971084.25,0.36,0.15,0.15,0.17,0.20,8.63,0.00,1.04,-1.35
2019-05-01 08:00:00,52.75,4.75,1.18,-1.08,278.63,101920.10,349.69,3.93,101912.55,,10.91,10.63,10.72,9.28,727375.31,1529481.88,0.35,0.15,0.15,0.17,0.20,8.90,0.00,1.09,-0.98
2019-05-01 09:00:00,52.75,4.75,1.33,-0.72,278.65,101906.72,349.45,3.94,101898.62,,11.19,10.65,10.72,9.28,947928.81,2041804.12,0.35,0.15,0.15,0.17,0.20,9.11,0.00,1.23,-0.66
2019-05-01 10:00:00,52.75,4.75,2.36,-0.22,278.80,101914.94,346.07,3.90,101907.20,,11.56,10.86,10.86,9.43,1372817.88,2452157.50,0.35,0.15,0.15,0.17,0.20,9.36,0.00,2.14,-0.26
2019-05-01 11:00:00,52.75,4.75,2.98,-0.28,278.94,101872.90,344.07,3.87,101865.84,,12.00,10.94,10.85,9.43,1648323.75,2723847.50,0.35,0.15,0.15,0.17,0.20,9.58,0.00,2.68,-0.31
2019-05-01 12:00:00,52.75,4.75,3.28,-0.53,279.12,101847.85,340.82,3.82,101839.91,,12.50,11.04,10.85,9.43,1903445.75,2833981.50,0.36,0.15,0.15,0.17,0.20,9.86,0.00,2.96,-0.53
2019-05-01 13:00:00,52.75,4.75,3.85,-0.64,279.15,101811.52,336.47,3.76,101803.27,,12.76,11.16,10.85,9.43,1872001.88,2771332.25,0.37,0.15,0.15,0.17,0.20,9.76,0.00,3.45,-0.62
2019-05-01 14:00:00,52.75,4.75,4.45,-0.76,279.08,101766.75,331.70,3.70,101759.66,,12.84,11.27,10.85,9.43,1703028.25,2542413.00,0.39,0.15,0.15,0.17,0.20,9.55,0.00,3.93,-0.70
2019-05-01 15:00:00,52.75,4.75,4.55,-0.87,279.02,101718.84,327.16,3.66,101711.33,,12.72,11.38,10.85,9.43,1378124.62,2167296.50,0.41,0.15,0.15,0.17,0.20,9.37,0.00,3.96,-0.75
2019-05-01 16:00:00,52.75,4.75,4.40,-0.68,278.88,101660.21,324.18,3.66,101652.51,,12.49,11.46,10.85,9.43,1090219.75,1681560.12,0.42,0.15,0.15,0.17,0.20,9.23,0.00,3.83,-0.57
2019-05-01 17:00:00,52.75,4.75,4.35,-0.67,278.83,101641.58,322.41,3.68,101634.08,,12.12,11.50,10.85,9.43,680407.88,1131570.75,0.43,0.14,0.15,0.17,0.20,9.15,0.00,3.74,-0.53
2019-05-01 18:00:00,52.75,4.75,4.12,-0.58,278.81,101575.59,323.20,3.74,101568.29,,11.68,11.52,10.85,9.44,383079.75,585129.31,0.43,0.14,0.15,0.17,0.20,9.04,0.00,3.49,-0.42
2019-05-01 19:00:00,52.75,4.75,4.04,-0.40,278.79,101559.78,325.03,3.81,101552.54,,11.01,11.50,10.85,9.44,133165.38,148724.62,0.43,0.14,0.15,0.17,0.20,8.67,0.00,3.13,-0.15
2019-05-01 20:00:00,52.75,4.75,4.40,-0.38,279.00,101541.85,326.21,3.87,101534.54,,10.48,11.46,10.85,9.44,49.62,48.62,0.43,0.14,0.15,0.17,0.20,8.57,0.00,3.16,-0.04
2019-05-01 21:00:00,52.75,4.75,4.67,-0.28,279.23,101507.64,325.93,3.89,101499.61,,10.28,11.40,10.86,9.44,0.12,0.12,0.43,0.14,0.15,0.17,0.20,8.76,0.00,3.36,0.02
2019-05-01 22:00:00,52.75,4.75,4.14,0.56,279.80,101458.64,325.22,3.94,101450.86,,10.10,11.27,10.85,9.44,0.12,0.12,0.43,0.14,0.15,0.17,0.20,8.48,0.00,2.86,0.67
2019-05-01 23:00:00,52.75,4.75,4.76,0.72,279.97,101406.98,320.94,3.89,101399.32,,9.80,11.18,10.85,9.44,0.12,0.12,0.44,0.14,0.15,0.17,0.20,8.44,0.00,3.35,0.77
2019-05-02 00:00:00,52.75,4.75,5.59,0.53,280.10,101354.69,311.34,3.75,101347.25,,9.62,11.08,10.85,9.44,0.12,0.12,0.47,0.14,0.15,0.17,0.20,8.48,0.00,3.85,0.61
2019-05-02 01:00:00,52.75,4.75,6.50,0.75,280.14,101307.24,301.23,3.64,101300.00,,9.41,10.98,10.85,9.44,0.12,0.12,0.51,0.14,0.15,0.17,0.20,8.48,0.00,4.43,0.78
2019-05-02 02:00:00,52.75,4.75,6.77,0.68,280.40,101235.85,293.90,3.58,101228.21,,9.39,10.89,10.85,9.45,0.12,0.12,0.55,0.14,0.15,0.17,0.20,8.74,0.00,4.58,0.72
2019-05-02 03:00:00,52.75,4.75,6.57,0.05,280.54,101187.09,292.68,3.60,101179.67,,9.33,10.80,10.84,9.45,0.12,0.12,0.57,0.14,0.15,0.17,0.20,8.85,0.00,4.30,0.33
